Entity,Year,Source,Production,Forecast
Australia,2008,Coal,184.24,183.8321914656977
Australia,2009,Coal,182.02,178.38916125397873
Australia,2010,Coal,176.02,175.36183228264923
Australia,2011,Coal,171.98,172.71125929594052
Australia,2012,Coal,165.38,170.43644217803998
Australia,2013,Coal,155.45,164.99341206357946
Australia,2014,Coal,155.23,161.96608320086062
Australia,2015,Coal,162.2,159.31551033590938
Australia,2016,Coal,162.36,157.0406932192278
Australia,2017,Coal,159.17,151.591670828486
Australia,2018,Coal,156.56,148.5541310676022
Australia,2019,Coal,149.84,145.8868294373804
Australia,2020,Coal,142.93,143.5885983363218
Australia,2021,Coal,137.4,138.12209009041192
Australia,2022,Coal,130.93,135.07134724087314
Australia,2023,Coal,127.52,132.39736038423482
France,2008,Coal,23.06,23.040504442116454
France,2009,Coal,21.67,24.6389145663408
France,2010,Coal,23.36,21.821390532432908
France,2011,Coal,17.39,19.192970332814735
France,2012,Coal,21.46,16.754946136871922
France,2013,Coal,23.84,18.35335626081159
France,2014,Coal,11.26,15.535832226648658
France,2015,Coal,11.89,12.907412026994535
France,2016,Coal,10.23,10.469387831006589
France,2017,Coal,12.81,12.067797954966228
France,2018,Coal,8.31,9.250273921072772
France,2019,Coal,3.64,6.621853721562499
France,2020,Coal,3.09,4.183829525644638
France,2021,Coal,5.44,5.782239649656439
France,2022,Coal,4.33,2.9647156156768766
France,2023,Coal,2.16,0.3362954160624536
Singapore,2008,Coal,0.0,-0.025741754871300693
Singapore,2009,Coal,0.0,0.039290032038088694
Singapore,2010,Coal,0.0,0.08989271984205018
Singapore,2011,Coal,0.0,0.13969524594851082
Singapore,2012,Coal,0.0,0.18870229985936385
Singapore,2013,Coal,0.0,0.2537340867596284
Singapore,2014,Coal,0.54,0.30433677455394825
Singapore,2015,Coal,0.6,0.35413930064763627
Singapore,2016,Coal,0.62,0.4031463545528477
Singapore,2017,Coal,0.68,0.4681781414587613
Singapore,2018,Coal,0.69,0.5187808292698959
Singapore,2019,Coal,0.65,0.5685833553784293
Singapore,2020,Coal,0.53,0.6175904092918412
Singapore,2021,Coal,0.67,0.6826221962007499
Singapore,2022,Coal,0.57,0.7332248840082954
Singapore,2023,Coal,0.57,0.7830274101127669
Australia,2008,Gas,36.31,44.96521522053906
Australia,2009,Gas,41.12,47.27131028292269
Australia,2010,Gas,46.79,47.12404022446712
Australia,2011,Gas,48.78,46.83186636607039
Australia,2012,Gas,49.81,46.39557921413794
Australia,2013,Gas,52.72,48.701674268644155
Australia,2014,Gas,53.66,48.55440420335967
Australia,2015,Gas,49.71,48.262230336050195
Australia,2016,Gas,48.11,47.82593110359795
Australia,2017,Gas,55.09,50.132014043870505
Australia,2018,Gas,51.46,49.984731893983025
Australia,2019,Gas,55.71,49.69254594307458
Australia,2020,Gas,53.12,49.25624670240472
Australia,2021,Gas,47.63,51.56232963665713
Australia,2022,Gas,46.29,51.41504748417721
Australia,2023,Gas,42.78,51.12286153403786
France,2008,Gas,21.88,19.885609302977954
France,2009,Gas,20.5,19.325699754243118
France,2010,Gas,23.76,21.17193603019757
France,2011,Gas,29.49,23.13766406098598
France,2012,Gas,22.75,25.222113837330685
France,2013,Gas,18.39,24.662204288715763
France,2014,Gas,13.16,26.508440564325532
France,2015,Gas,21.14,28.47416859468367
France,2016,Gas,34.97,30.558618370366865
France,2017,Gas,40.5,29.998708821491064
France,2018,Gas,30.61,31.844945096408132
France,2019,Gas,39.31,33.81067312677945
France,2020,Gas,35.25,35.895122902340205
France,2021,Gas,33.29,35.33521335332178
France,2022,Gas,45.74,37.18144962866633
France,2023,Gas,31.43,39.147177659096855
Singapore,2008,Gas,33.46,31.711031568522678
Singapore,2009,Gas,33.69,34.437646758706315
Singapore,2010,Gas,35.02,36.14935834073371
Singapore,2011,Gas,35.88,38.204135078560626
Singapore,2012,Gas,39.57,40.60231335963309
Singapore,2013,Gas,44.03,43.32892858746672
Singapore,2014,Gas,47.03,45.040640174499686
Singapore,2015,Gas,47.89,47.094167862233306
Singapore,2016,Gas,49.11,48.550287252161866
Singapore,2017,Gas,49.72,49.81919400411361
Singapore,2018,Gas,50.47,50.07428852847566
Singapore,2019,Gas,51.76,50.67133806714527
Singapore,2020,Gas,50.84,51.61178907916401
Singapore,2021,Gas,52.94,52.87668325741672
Singapore,2022,Gas,52.54,53.13066759101787
Singapore,2023,Gas,53.07,53.72771707048899
Australia,2008,Nuclear,0.0,0.0
Australia,2009,Nuclear,0.0,0.0
Australia,2010,Nuclear,0.0,0.0
Australia,2011,Nuclear,0.0,0.0
Australia,2012,Nuclear,0.0,0.0
Australia,2013,Nuclear,0.0,0.0
Australia,2014,Nuclear,0.0,0.0
Australia,2015,Nuclear,0.0,0.0
Australia,2016,Nuclear,0.0,0.0
Australia,2017,Nuclear,0.0,0.0
